url,title,author,book_title,Category,Subject,html_url,text_url,search_text
https://www.gutenberg.org/ebooks/29791,The Most Sentimental Man by Evelyn E. Smith,"Smith, Evelyn E., 1922-2000",The Most Sentimental Man,Text,Short stories,https://www.gutenberg.org/ebooks/29791.html.images,https://www.gutenberg.org/ebooks/29791.txt.utf-8,"The Most Sentimental Man by Evelyn E. Smith Smith, Evelyn E., 1922-2000 Short stories"
https://www.gutenberg.org/ebooks/844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,"Wilde, Oscar, 1854-1900",The Importance of Being Earnest: A Trivial Comedy for Serious People,Text,Foundlings -- Drama,https://www.gutenberg.org/ebooks/844.html.images,https://www.gutenberg.org/ebooks/844.txt.utf-8,"The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde Wilde, Oscar, 1854-1900 Foundlings -- Drama"
https://www.gutenberg.org/ebooks/921,De Profundis by Oscar Wilde,"Wilde, Oscar, 1854-1900",De Profundis,Text,Imprisonment,https://www.gutenberg.org/ebooks/921.html.images,https://www.gutenberg.org/ebooks/921.txt.utf-8,"De Profundis by Oscar Wilde Wilde, Oscar, 1854-1900 Imprisonment"
https://www.gutenberg.org/ebooks/12,Through the Looking-Glass by Lewis Carroll,"Carroll, Lewis, 1832-1898",Through the Looking-Glass,Text,Alice (Fictitious character from Carroll) -- Juvenile fiction,https://www.gutenberg.org/ebooks/12.html.images,https://www.gutenberg.org/ebooks/12.txt.utf-8,"Through the Looking-Glass by Lewis Carroll Carroll, Lewis, 1832-1898 Alice (Fictitious character from Carroll) -- Juvenile fiction"
https://www.gutenberg.org/ebooks/1184,The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet,"Maquet, Auguste, 1813-1888",The Count of Monte Cristo,Text,"Dantès, Edmond (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/1184.html.images,https://www.gutenberg.org/ebooks/1184.txt.utf-8,"The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet Maquet, Auguste, 1813-1888 Dantès, Edmond (Fictitious character) -- Fiction"
https://www.gutenberg.org/ebooks/40426,Daddy-Long-Legs by Jean Webster,"Webster, Jean, 1876-1916",Daddy-Long-Legs,Text,Letters -- Fiction,https://www.gutenberg.org/ebooks/40426.html.images,https://www.gutenberg.org/ebooks/40426.txt.utf-8,"Daddy-Long-Legs by Jean Webster Webster, Jean, 1876-1916 Letters -- Fiction"
https://www.gutenberg.org/ebooks/5225,The Satyricon — Complete by Petronius Arbiter,"Petronius Arbiter, 20-66",The Satyricon — Complete,Text,"Satire, Latin -- Translations into English",https://www.gutenberg.org/ebooks/5225.html.images,https://www.gutenberg.org/ebooks/5225.txt.utf-8,"The Satyricon — Complete by Petronius Arbiter Petronius Arbiter, 20-66 Satire, Latin -- Translations into English"
https://www.gutenberg.org/ebooks/2000,Don Quijote by Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de, 1547-1616",Don Quijote,Text,Romances,https://www.gutenberg.org/ebooks/2000.html.images,https://www.gutenberg.org/ebooks/2000.txt.utf-8,"Don Quijote by Miguel de Cervantes Saavedra Cervantes Saavedra, Miguel de, 1547-1616 Romances"
https://www.gutenberg.org/ebooks/140,The Jungle by Upton Sinclair,"Sinclair, Upton, 1878-1968",The Jungle,Text,Chicago (Ill.) -- Fiction,https://www.gutenberg.org/ebooks/140.html.images,https://www.gutenberg.org/ebooks/140.txt.utf-8,"The Jungle by Upton Sinclair Sinclair, Upton, 1878-1968 Chicago (Ill.) -- Fiction"
https://www.gutenberg.org/ebooks/23042,The Tempest by William Shakespeare,"Shakespeare, William, 1564-1616",The TempestThe Works of William Shakespeare [Cambridge Edition] [9 vols.],Text,Tragicomedy,https://www.gutenberg.org/ebooks/23042.html.images,https://www.gutenberg.org/ebooks/23042.txt.utf-8,"The Tempest by William Shakespeare Shakespeare, William, 1564-1616 Tragicomedy"
https://www.gutenberg.org/ebooks/70403,The miniature menace by Frank Belknap Long,"Long, Frank Belknap, 1903-1994",The miniature menace,Text,Psychic ability -- Fiction,https://www.gutenberg.org/ebooks/70403.html.images,https://www.gutenberg.org/ebooks/70403.txt.utf-8,"The miniature menace by Frank Belknap Long Long, Frank Belknap, 1903-1994 Psychic ability -- Fiction"
https://www.gutenberg.org/ebooks/20788,Storm Over Warlock by Andre Norton,"Norton, Andre, 1912-2005",Storm Over Warlock,Text,Science fiction,https://www.gutenberg.org/ebooks/20788.html.images,https://www.gutenberg.org/ebooks/20788.txt.utf-8,"Storm Over Warlock by Andre Norton Norton, Andre, 1912-2005 Science fiction"
https://www.gutenberg.org/ebooks/1051,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh by Thomas Carlyle,"Carlyle, Thomas, 1795-1881",Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,Text,Philosophers -- Fiction,https://www.gutenberg.org/ebooks/1051.html.images,https://www.gutenberg.org/ebooks/1051.txt.utf-8,"Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh by Thomas Carlyle Carlyle, Thomas, 1795-1881 Philosophers -- Fiction"
https://www.gutenberg.org/ebooks/31979,The Tunnel Under the World by Frederik Pohl,"Pohl, Frederik, 1919-2013",The Tunnel Under the World,Text,Science fiction,https://www.gutenberg.org/ebooks/31979.html.images,https://www.gutenberg.org/ebooks/31979.txt.utf-8,"The Tunnel Under the World by Frederik Pohl Pohl, Frederik, 1919-2013 Science fiction"
https://www.gutenberg.org/ebooks/24434,"The Wit and Humor of America, Volume X (of X) by Marshall P. Wilder",,"The Wit and Humor of America, Volume X (of X)",Text,American literature -- Humor,https://www.gutenberg.org/ebooks/24434.html.images,https://www.gutenberg.org/ebooks/24434.txt.utf-8,"The Wit and Humor of America, Volume X (of X) by Marshall P. Wilder American literature -- Humor"
https://www.gutenberg.org/ebooks/6130,The Iliad by Homer,"Homer, 751? BCE-651? BCE",The Iliad,Text,Trojan War -- Poetry,https://www.gutenberg.org/ebooks/6130.html.images,https://www.gutenberg.org/ebooks/6130.txt.utf-8,"The Iliad by Homer Homer, 751? BCE-651? BCE Trojan War -- Poetry"
https://www.gutenberg.org/ebooks/209,The Turn of the Screw by Henry James,"James, Henry, 1843-1916",The Turn of the Screw,Text,Children -- Fiction,https://www.gutenberg.org/ebooks/209.html.images,https://www.gutenberg.org/ebooks/209.txt.utf-8,"The Turn of the Screw by Henry James James, Henry, 1843-1916 Children -- Fiction"
https://www.gutenberg.org/ebooks/2147,The Works of Edgar Allan Poe — Volume 1 by Edgar Allan Poe,"Poe, Edgar Allan, 1809-1849",The Works of Edgar Allan Poe — Volume 1,Text,"Poe, Edgar Allan, 1809-1849",https://www.gutenberg.org/ebooks/2147.html.images,https://www.gutenberg.org/ebooks/2147.txt.utf-8,"The Works of Edgar Allan Poe — Volume 1 by Edgar Allan Poe Poe, Edgar Allan, 1809-1849 Poe, Edgar Allan, 1809-1849"
